TIME,P,TAVG,PSGA,PSGB,LVPZ,TBLD,RM1,RBLK
0,155.5000153,310,67.00003052,67.00004578,62,100,0.0011,0.666807115
10,155.4848785,310.0242615,67.13707733,67.13711548,61.97171021,98.41639709,0.0011,14.00294971
20,155.5217285,310.0987854,67.47270203,67.47274017,62.04224396,96.74945831,0.0011,27.33909225
30,155.5541382,310.1805115,67.88731384,67.88734436,62.10487366,95.0825119,0.0011,40.67520905
40,155.5775452,310.2659912,68.3325882,68.33262634,62.1486969,93.41557312,0.0011,54.01131439
50,155.5714264,310.336853,68.78969574,68.78972626,62.14550781,91.74862671,0.0011,67.34744263
60,155.4904022,310.3667908,69.22763062,69.22766876,62.0175705,90.0816803,0.0011,80.68362427
70,155.3430634,310.3588257,69.63132477,69.63136292,61.77469635,88.41473389,0.0011,94.01980591
80,155.1489563,310.3216858,69.9998703,69.99990082,61.43976974,86.74778748,0.0011,107.3559875
90,154.9513702,310.2815857,70.3478775,70.34791565,61.08336639,85.08084106,0.0011,120.6921692
100,154.7541504,310.2402039,70.68897247,70.68900299,60.71378708,83.41390228,0.0011,134.0283508
110,154.5593872,310.1987305,71.02819824,71.02823639,60.33456802,81.7469635,0.0011,147.3645325
120,154.3678741,310.1574707,71.36730194,71.36734772,59.9474411,80.08001709,0.0011,160.7007141
130,154.1746674,310.1166077,71.7070694,71.70709991,59.55331802,78.41307068,0.0011,174.0368958
140,153.9933167,310.0761108,72.04698944,72.04701996,59.15444946,76.74612427,0.0011,187.3730774
150,153.9163666,310.0333252,72.39311981,72.39315033,58.72870255,75.07917786,0.0011,200.709259
160,153.8365631,309.9921265,72.74753571,72.74757385,58.29637146,73.41223145,0.0011,214.0454407
170,153.7536926,309.9512024,73.10694885,73.10697937,57.86017227,71.74528503,0.0011,227.3816223
180,153.6680145,309.9110718,73.46942902,73.46945953,57.4199028,70.07834625,0.0011,240.717804
190,153.5797882,309.8708191,73.833992,73.83403015,56.97586441,68.41140747,0.0011,254.0539856
200,153.492157,309.8308105,74.19955444,74.19958496,56.53321838,66.74446106,0.0011,267.3901672
210,153.4046326,309.790802,74.56569672,74.56573486,56.09144592,65.07751465,0.0011,280.7263489
220,153.3167267,309.7504272,74.93114471,74.93117523,55.64954758,63.41056824,0.0011,294.0625305
230,153.2287598,309.7098389,75.29580688,75.2958374,55.20790863,61.74362183,0.0011,307.3987122
240,153.1405029,309.6691589,75.66018677,75.66022491,54.76652527,60.07667923,0.0011,320.7348938
250,153.0516968,309.6281128,76.02452087,76.02455902,54.32471085,58.40973282,0.0011,334.0710754
260,152.9629974,309.5870361,76.3895874,76.38962555,53.883564,56.74279404,0.0011,347.4072571
270,152.8743591,309.5457764,76.75511932,76.75514984,53.44305038,55.07584763,0.0011,360.7434387
280,152.7855225,309.5043945,77.12097931,77.12100983,53.00285339,53.40890121,0.0011,374.0796204
290,152.6960907,309.4626465,77.48704529,77.48707581,52.56224442,51.74195862,0.0011,387.415802
300,152.6065063,309.4207764,77.72951508,77.72955322,52.12192535,50.07501221,0.0011,400.7519836
310,152.057251,309.1030579,77.29956055,77.29959106,51.01593018,48.4080658,0.0011,414.0881653
320,151.9423218,309.0589905,77.26334381,77.26337433,50.51614761,46.7411232,0.0011,427.4243469
330,151.7944183,308.9781189,77.45671844,77.45674896,49.99910736,45.0741806,0.0011,440.7605286
340,151.6663055,308.9153748,77.72602081,77.72603607,49.49522018,43.40723419,0.0011,454.0967102
